ID,Book length (mins)_avg,Book length (mins)_overall,Price_avg,Price_overall,Review,Review 10/10,Completion,Minutes listened,Support Requests,Last visited minus Purchase date,Targets
25999,2160,2160,5.33,5.33,0,8.91,0,23.76,0,0,0
5814,2160,2160,5.33,5.33,0,8.91,0,0,0,0,0
15521,2160,2160,5.33,5.33,0,8.91,0,64.8,0,0,0
7352,648,648,5.33,5.33,0,8.91,0,0,0,0,0
8008,2160,2160,7.54,7.54,0,8.91,0,734.4,0,226,0
27611,2160,2160,5.33,5.33,0,8.91,0.43,0,0,157,0
16401,2160,2160,8,8,0,10,0,0,0,101,1
10400,1620,1620,5.97,5.97,1,3,0.16,0,0,121,0
16726,1620,1620,8,8,0,8.91,0.02,0,0,0,0
21856,2160,2160,5.57,5.57,0,8.91,0,0,0,274,0
12123,2160,2160,5.33,5.33,0,8.91,0,475.2,0,147,0
12292,1620,1620,7.99,7.99,0,8.91,0.48,0,0,259,0
15974,2160,2160,6,6,1,10,0.05,0,0,202,0
13712,1620,1620,5.33,5.33,1,10,0.99,0,0,67,0
16204,2160,2160,5.33,5.33,0,8.91,0.07,0,0,2,0
18835,1620,1620,6,6,0,8.91,0.38,561.6,0,31,0
13617,1620,1620,8,8,0,8.91,0,0,0,198,1
33396,2160,2160,5.33,5.33,0,8.91,0.16,0,0,130,0
23178,2160,2160,12.45,12.45,1,10,0.5,0,0,126,0
18100,1620,1620,7.76,7.76,0,8.91,0,0,0,0,1
6214,2160,2160,5.33,5.33,0,8.91,0.02,0,0,164,0
4929,2160,2160,5.33,5.33,0,8.91,0,0,0,0,0
17215,1188,1188,5.74,5.74,0,8.91,0.03,47.52,0,177,0
9107,648,648,12.27,12.27,0,8.91,0,0,0,0,0
17817,648,648,5.97,5.97,0,8.91,0,0,0,0,0
16115,2160,2160,5.33,5.33,0,8.91,0.38,237.6,0,86,0
9891,1620,1620,5.61,5.61,1,10,0.99,680.4,2,118,0
20740,1188,1188,10.13,10.13,0,8.91,0,2112.48,0,0,1
9388,1674,3348,5.87,11.73,0,8.91,0,0,0,3,1
14429,2160,2160,8,8,1,8,0.26,0,0,29,0
28472,2160,2160,5.33,5.33,0,8.91,0.23,0,0,5,0
986,1620,1620,7.61,7.61,0,8.91,0.38,0,0,38,0
10900,1620,1620,5.87,5.87,0,8.91,0.29,0,0,0,0
29976,1620,1620,6.93,6.93,0,8.91,0,41.04,0,44,0
19719,2160,2160,5.9,5.9,0,8.91,0,64.8,0,0,0
24320,2160,2160,5.33,5.33,0,8.91,0,0,0,46,0
20756,1620,1620,8,8,1,10,0.99,2112.48,2,185,0
19013,1620,1620,10.13,10.13,0,8.91,0.02,0,0,210,0
28671,1080,1080,6.55,6.55,1,6,0.29,0,0,29,0
13345,1620,1620,5.33,5.33,0,8.91,0.19,0,0,92,0
9098,648,648,5.33,5.33,0,8.91,0,0,0,0,0
17539,648,648,7.1,7.1,0,8.91,0.04,118.8,0,140,0
26230,1620,1620,6.28,6.28,0,8.91,0,0,0,81,0
6541,1620,1620,8,8,0,8.91,0.17,0,0,190,0
32890,1620,1620,6.93,6.93,0,8.91,0,0,0,14,0
28014,1620,1620,5.33,5.33,0,8.91,0.37,0,0,22,0
221,1188,1188,5.33,5.33,0,8.91,0,0,0,11,0
32452,1188,1188,6.93,6.93,0,8.91,0,0,0,0,0
23741,1620,1620,5.33,5.33,0,8.91,0,0,0,0,0
13257,2160,2160,7.47,7.47,1,10,0.07,0,0,293,0
12878,1188,1188,5.33,5.33,0,8.91,0.06,0,0,346,0
12973,1620,1620,11.35,11.35,0,8.91,0.04,0,0,10,0
27937,648,648,5.33,5.33,0,10,0,0,0,0,1
28217,2160,2160,5.33,5.33,0,8.91,0.39,0,0,120,0
21871,1674,3348,7.77,15.53,0,8.91,0,0,0,219,1
19093,648,648,8.85,8.85,1,10,1,1188,1,15,0
14191,1620,1620,5.33,5.33,0,8.91,0,64.8,0,0,0
25140,2160,2160,10.13,10.13,0,8.91,0.15,0,0,131,0
14344,1188,1188,5.33,5.33,0,8.91,0,123.12,0,0,0
19612,1620,1620,5.33,5.33,0,8.91,0,64.8,0,12,0
7632,1890,3780,9.06,18.13,0,8.91,0,531.36,0,202,1
5050,2160,2160,8,8,0,8.91,0.47,0,0,72,0
30902,1188,1188,9.87,9.87,0,8.91,0,0,0,57,0
16678,648,648,8,8,0,8.91,0,0,0,0,0
15204,1188,1188,5.33,5.33,0,8.91,0.18,64.8,0,56,0
14821,1620,1620,8,8,0,8.91,0,0,0,0,0
26136,1404,2808,8,16,1,10,0,0,0,108,1
5120,1188,1188,11.21,11.21,1,9,1,0,0,266,0
14935,1620,1620,4.95,4.95,0,8.91,0,0,0,155,0
24421,1620,1620,7.6,7.6,0,8.91,0.12,0,0,2,0
2068,216,216,5.61,5.61,0,8.91,0,0,0,0,0
10424,2160,2160,5.33,5.33,0,8.91,0,0,0,0,0
21567,1674,3348,5.6,11.2,1,10,0,696.6,0,259,1
32858,1332,3996,6.22,18.65,0,8.91,0,0,0,257,1
9716,1188,1188,8.7,8.7,0,8.91,0,0,0,0,0
14993,1188,1188,7.6,7.6,0,8.91,0.03,0,0,2,0
22777,1188,1188,5.61,5.61,0,8.91,0,0,0,0,0
8555,2160,2160,8,8,0,8.91,0.07,0,0,140,0
16604,648,648,4.48,4.48,0,8.91,0,0,0,5,0
6824,2160,2160,10.13,10.13,1,6,0.31,0,0,20,0
2119,2160,2160,5.74,5.74,0,8.91,0,0,0,0,0
29398,1620,1620,7.99,7.99,0,8.91,0,41.04,0,161,0
31929,1620,1620,7.54,7.54,0,8.91,0,81,0,0,0
26565,2160,2160,10.13,10.13,0,8.91,0.04,21.6,0,136,0
18828,1620,1620,5.33,5.33,0,8.91,0,561.6,0,0,0
13147,324,324,12.27,12.27,1,10,0,0,0,0,0
11112,1620,1620,8,8,0,8.91,0.02,0,0,15,0
11875,1620,1620,5.97,5.97,0,8.91,0.07,475.2,0,6,0
24181,2160,2160,7.77,7.77,1,6,0.34,0,0,33,0
23205,1620,1620,6.58,6.58,1,9,0.22,0,0,111,0
24140,1620,1620,5.53,5.53,1,10,0.33,0,0,162,0
34,1620,1620,7.18,7.18,0,8.91,0,0,0,0,0
3301,2160,2160,5.33,5.33,0,8.91,0.02,680.4,0,35,0
20395,1620,1620,5.95,5.95,0,8.91,0,0,0,0,0
12990,2160,2160,6.39,6.39,0,8.91,0.48,0,0,209,0
13752,1620,1620,5.95,5.95,1,8,0,0,1,132,1
10847,1188,1188,5.33,5.33,0,8.91,0,0,0,0,0
2342,648,648,6.4,6.4,0,8.91,0,0,0,0,0
29877,324,324,5.33,5.33,1,10,0,41.04,0,0,0
23732,648,648,5.33,5.33,0,8.91,1,0,0,182,0
